dimension,noise_level,avg_procrustes_error,std_procrustes_error,valid_runs,all_errors
64,0.15,0.04451498349820683,0.0028832414402595995,10,"[np.float64(0.045655178186008546), np.float64(0.04102894323641655), np.float64(0.04370520706298733), np.float64(0.048044937402485784), np.float64(0.04910175457255316), np.float64(0.045494923548833555), np.float64(0.041421108345838134), np.float64(0.04012033808899974), np.float64(0.04379190690613521), np.float64(0.046785537631810245)]"
64,0.16,0.04818928667281936,0.0028382852202304973,10,"[np.float64(0.04949531171487813), np.float64(0.04713543597104759), np.float64(0.050953018482503186), np.float64(0.046714040243622815), np.float64(0.04451184479121777), np.float64(0.04329894252102854), np.float64(0.048379204072566497), np.float64(0.0487904244304993), np.float64(0.049000052219110114), np.float64(0.05361459228171961)]"
64,0.17,0.051446441719203206,0.004514387337700522,10,"[np.float64(0.04949339361840863), np.float64(0.05634019436594928), np.float64(0.05671891125111713), np.float64(0.05510345909879642), np.float64(0.04970660010537027), np.float64(0.04147620279166267), np.float64(0.04741541332182033), np.float64(0.05546729202159944), np.float64(0.05135376538105249), np.float64(0.0513891852362554)]"
64,0.18,0.054070938741360465,0.0036541656116295387,10,"[np.float64(0.0531808498985905), np.float64(0.05628009721227914), np.float64(0.04978456742255133), np.float64(0.06028427541320815), np.float64(0.05296560342220444), np.float64(0.055392389468121014), np.float64(0.049694964661491974), np.float64(0.05989770536261679), np.float64(0.05044373428383211), np.float64(0.0527852002687092)]"
64,0.19,0.05898018205749915,0.002404990277783805,10,"[np.float64(0.06139754949989218), np.float64(0.06185846179619313), np.float64(0.059041696223824595), np.float64(0.058037119724740446), np.float64(0.05797888468817994), np.float64(0.053686396458199684), np.float64(0.05675763850061965), np.float64(0.06145689452357365), np.float64(0.06062864697628417), np.float64(0.0589585321834841)]"
64,0.2,0.0624661113863237,0.0025504320736227256,10,"[np.float64(0.05743016907593602), np.float64(0.064131847196457), np.float64(0.06672921989092746), np.float64(0.059997268545936525), np.float64(0.06094842124001701), np.float64(0.0637966479831744), np.float64(0.06116405529162273), np.float64(0.06272108031031662), np.float64(0.06267543100001817), np.float64(0.06506697332883107)]"
64,0.21,0.06823267125473009,0.0024397728069066728,10,"[np.float64(0.07134716217734649), np.float64(0.0689107060162695), np.float64(0.06676868213620264), np.float64(0.06612092330887376), np.float64(0.06656760177856275), np.float64(0.07029557767291852), np.float64(0.06659372649268376), np.float64(0.07322966360755746), np.float64(0.06655228187632863), np.float64(0.06594038748055735)]"
64,0.22,0.07137198117090952,0.0025675845854675854,10,"[np.float64(0.0695294459392616), np.float64(0.07229286985867679), np.float64(0.06852613369308896), np.float64(0.07161746915904338), np.float64(0.06867213589311452), np.float64(0.06974656299017118), np.float64(0.07515127480699921), np.float64(0.07006796333776197), np.float64(0.07662497937694238), np.float64(0.07149097665403534)]"
64,0.23,0.07930082098863765,0.004516361246671989,10,"[np.float64(0.07798058764045782), np.float64(0.08587563434738081), np.float64(0.07823602645838153), np.float64(0.07730918249041617), np.float64(0.0749657993797218), np.float64(0.07573781080009265), np.float64(0.07970756807722637), np.float64(0.07566456922766546), np.float64(0.07788498137412528), np.float64(0.08964605009090873)]"
64,0.24,0.08485562940846321,0.002328039278934164,10,"[np.float64(0.0885065325194199), np.float64(0.08212293977187668), np.float64(0.08350457921837398), np.float64(0.08492484121938237), np.float64(0.08254636302992721), np.float64(0.08733301674608096), np.float64(0.08758455931865593), np.float64(0.08347723961579336), np.float64(0.08652384342971389), np.float64(0.08203237921540774)]"
64,0.25,0.0887910243002614,0.004233056644663288,10,"[np.float64(0.08878304697998395), np.float64(0.08782610346269437), np.float64(0.0881915551643269), np.float64(0.08345835761624369), np.float64(0.09283081150481777), np.float64(0.09881241371544461), np.float64(0.08708893303309641), np.float64(0.08488352215864027), np.float64(0.09060136450582994), np.float64(0.08543413486153612)]"
64,0.26,0.09742926511875347,0.005371213208281684,10,"[np.float64(0.09453850789151153), np.float64(0.10615162061010502), np.float64(0.10233282469882887), np.float64(0.0933251856328664), np.float64(0.09603855019263938), np.float64(0.09390589494273137), np.float64(0.09390143294600414), np.float64(0.1029979398436694), np.float64(0.08853927178970526), np.float64(0.10256142263947347)]"
64,0.27,0.10122746685681731,0.003146189715344107,10,"[np.float64(0.09573440596088394), np.float64(0.10514239964585305), np.float64(0.09886611843121544), np.float64(0.10203356167320421), np.float64(0.09876229863474154), np.float64(0.09820285951029308), np.float64(0.10296712969422313), np.float64(0.1021572379028079), np.float64(0.10192186178434487), np.float64(0.10648679533060583)]"
64,0.28,0.10630038930483365,0.003122380158955617,10,"[np.float64(0.10787439039422576), np.float64(0.11117376138908741), np.float64(0.10504480891851815), np.float64(0.10535457143200237), np.float64(0.10626103198357206), np.float64(0.09929851448304709), np.float64(0.10734379164696968), np.float64(0.10350669012554799), np.float64(0.10805258221305872), np.float64(0.10909375046230728)]"
64,0.29,0.11255116026389449,0.0037792008010103214,10,"[np.float64(0.1107542439619411), np.float64(0.11948610560774944), np.float64(0.10904250132597319), np.float64(0.11775006426914757), np.float64(0.10668098989460041), np.float64(0.11572443700750898), np.float64(0.1121965573990567), np.float64(0.11260980930946317), np.float64(0.11090630607091033), np.float64(0.11036058779259388)]"
64,0.3,0.1215164672879594,0.004743614287264744,10,"[np.float64(0.12507202442056414), np.float64(0.12265425687144181), np.float64(0.11652366737910691), np.float64(0.12032702431565376), np.float64(0.11155813504730952), np.float64(0.12359675228716856), np.float64(0.12931798282599816), np.float64(0.12223824745051307), np.float64(0.11881555682805711), np.float64(0.125061025453781)]"
128,0.0,0.02827094564106607,0.002020738930042787,10,"[np.float64(0.027336050142490718), np.float64(0.030576664420261825), np.float64(0.029601230882407823), np.float64(0.02535299638352526), np.float64(0.02684282733249456), np.float64(0.026076845317858588), np.float64(0.030144679451491345), np.float64(0.02779539359211374), np.float64(0.03181408059722917), np.float64(0.02716868829078765)]"
128,0.01,0.027358115060769444,0.002147455952970967,10,"[np.float64(0.02858649744236089), np.float64(0.02497591423374084), np.float64(0.028760387702816942), np.float64(0.026815160393943435), np.float64(0.030447912704997963), np.float64(0.028782609956807415), np.float64(0.02359060346136599), np.float64(0.028742533125403313), np.float64(0.028349893450609693), np.float64(0.024529638135647944)]"
128,0.02,0.02884110832532395,0.0022794702247605054,10,"[np.float64(0.028874600687717075), np.float64(0.02945305574713261), np.float64(0.02863035344188753), np.float64(0.03181849772292066), np.float64(0.03149170973476244), np.float64(0.027157353393650694), np.float64(0.029320229113833706), np.float64(0.02395100313062192), np.float64(0.02677494654472048), np.float64(0.030939333735992395)]"
128,0.03,0.02960326764407184,0.0018604981086866163,10,"[np.float64(0.03150436387846867), np.float64(0.02638813338541759), np.float64(0.0311012381632143), np.float64(0.02992998473701382), np.float64(0.028083555228156917), np.float64(0.029864868646395978), np.float64(0.031347727919884154), np.float64(0.027292411882758456), np.float64(0.03208890482807159), np.float64(0.028431487771336892)]"
128,0.04,0.029430111308156825,0.0026722219802540314,10,"[np.float64(0.026172813475829542), np.float64(0.027684523657618657), np.float64(0.032146765371087994), np.float64(0.02558921288633032), np.float64(0.029258597861220374), np.float64(0.02919507584488524), np.float64(0.03234314788338064), np.float64(0.03422520864677873), np.float64(0.030139968178660752), np.float64(0.02754579927577601)]"
128,0.05,0.03051986001754985,0.0022595536591806247,10,"[np.float64(0.028748932853135508), np.float64(0.030768219747370887), np.float64(0.03172120028065642), np.float64(0.02821641090540521), np.float64(0.030374107810201088), np.float64(0.02716696959226201), np.float64(0.0326699938485083), np.float64(0.0297186596826071), np.float64(0.030339624820034744), np.float64(0.035474480635317225)]"
128,0.06,0.0321116977919695,0.0022617600108445412,10,"[np.float64(0.029651423110141566), np.float64(0.03456177905947507), np.float64(0.03263472040260111), np.float64(0.029903295461893013), np.float64(0.03166337112766636), np.float64(0.03300159216039065), np.float64(0.034170732162335876), np.float64(0.0348789261984952), np.float64(0.027616459986009586), np.float64(0.03303467825068659)]"
128,0.07,0.03452320890846482,0.0017386275949756644,10,"[np.float64(0.035082359293514796), np.float64(0.036396922260037885), np.float64(0.034344124285414106), np.float64(0.03572111520101499), np.float64(0.03456763148638023), np.float64(0.03515029352551115), np.float64(0.03149819067495768), np.float64(0.03254294132058383), np.float64(0.03261039595021436), np.float64(0.03731811508701914)]"
128,0.08,0.03698658731529429,0.0022177595131196094,10,"[np.float64(0.033816168650486804), np.float64(0.036653917691493565), np.float64(0.03456433954349833), np.float64(0.03370352765025307), np.float64(0.03964749703806521), np.float64(0.039340097618480785), np.float64(0.03865151311818343), np.float64(0.03673173417627557), np.float64(0.03961246479360049), np.float64(0.037144612872605655)]"
128,0.09,0.039533792920545145,0.0016749569623808985,10,"[np.float64(0.037864418780295325), np.float64(0.0383359095451913), np.float64(0.03918773081788025), np.float64(0.04207000316216967), np.float64(0.038556096070356975), np.float64(0.03893807689219605), np.float64(0.03772502187188569), np.float64(0.04295811249639966), np.float64(0.03923040520396211), np.float64(0.04047215436511443)]"
128,0.1,0.04172065446329606,0.0017073571357956072,10,"[np.float64(0.04106224345895526), np.float64(0.043863016508484), np.float64(0.04076491749293212), np.float64(0.04119733660748798), np.float64(0.03956245549187987), np.float64(0.04438529268538047), np.float64(0.0413184684498182), np.float64(0.044394160510423296), np.float64(0.04035251434174539), np.float64(0.040306139085854016)]"
128,0.11,0.0441548352041803,0.0016911839498861365,10,"[np.float64(0.0462354633766217), np.float64(0.043596446246623566), np.float64(0.04404316729117106), np.float64(0.04164509628342265), np.float64(0.04166221270065686), np.float64(0.04282413296648489), np.float64(0.04459646075352959), np.float64(0.0442966704609133), np.float64(0.04645903089938431), np.float64(0.046189671062995145)]"
128,0.12,0.04647973413296839,0.0025406373507255446,10,"[np.float64(0.04202025094715712), np.float64(0.045924098655426716), np.float64(0.048185650227047), np.float64(0.04373844218567715), np.float64(0.044975092087885526), np.float64(0.04836082952865203), np.float64(0.04797643795356347), np.float64(0.05119029684601295), np.float64(0.047546101856393484), np.float64(0.04488014104186844)]"
128,0.13,0.05202090170361455,0.0023303201516481128,10,"[np.float64(0.05352672330746764), np.float64(0.05490615752479018), np.float64(0.05042443341303437), np.float64(0.048385140660512006), np.float64(0.05047497932595264), np.float64(0.05442331407416251), np.float64(0.055184970126850245), np.float64(0.05129692211946333), np.float64(0.049027861988658085), np.float64(0.0525585144952544)]"
128,0.14,0.05493921682831143,0.0023189997397260673,10,"[np.float64(0.05397003165626658), np.float64(0.05284295523544921), np.float64(0.052744580894827774), np.float64(0.0536612423086632), np.float64(0.05422624679949021), np.float64(0.05395868559852667), np.float64(0.05581777177085091), np.float64(0.06105091621305427), np.float64(0.05646247781745887), np.float64(0.05465725998852661)]"
128,0.15,0.05761015491883388,0.001289813695789279,10,"[np.float64(0.05613223552160317), np.float64(0.058024486969965476), np.float64(0.05576175569853465), np.float64(0.05960826897470728), np.float64(0.05908827116625726), np.float64(0.05631607999560357), np.float64(0.05910609209634933), np.float64(0.05762460363862863), np.float64(0.05770418648668102), np.float64(0.056735568640008435)]"
128,0.16,0.06352602085050149,0.0023051541247588537,10,"[np.float64(0.060497387563800964), np.float64(0.06667286301221148), np.float64(0.06347629210317596), np.float64(0.06482301256038492), np.float64(0.06460214005154805), np.float64(0.06075850978728688), np.float64(0.06335190494112337), np.float64(0.0676172951279052), np.float64(0.061316293138233634), np.float64(0.06214451021934444)]"
128,0.17,0.06721645422395645,0.0020809505584046335,10,"[np.float64(0.07165490555378677), np.float64(0.06785874399420985), np.float64(0.06936442572240487), np.float64(0.06661524950572494), np.float64(0.06540830739950496), np.float64(0.06668594553615821), np.float64(0.06453568893872826), np.float64(0.06846304856302474), np.float64(0.06675088267972924), np.float64(0.06482734434629259)]"
128,0.18,0.07278965899814684,0.0028159138434621675,10,"[np.float64(0.07328565564948085), np.float64(0.07705880849626084), np.float64(0.07318302536547797), np.float64(0.07067324093507858), np.float64(0.07596751405335916), np.float64(0.07176957277681834), np.float64(0.07502183474649873), np.float64(0.07399049326238374), np.float64(0.06764833015966969), np.float64(0.0692981145364404)]"
128,0.19,0.0766630861732374,0.0017085342276786175,10,"[np.float64(0.07832653415002502), np.float64(0.07847884715266053), np.float64(0.07862617591106738), np.float64(0.07626354123446155), np.float64(0.07765082777877885), np.float64(0.07472326949615007), np.float64(0.07814341916483668), np.float64(0.07562238826437663), np.float64(0.0750454846752534), np.float64(0.07375037390476387)]"
128,0.2,0.08282033542994288,0.0027145370743838805,10,"[np.float64(0.07920930140135965), np.float64(0.08680035018915087), np.float64(0.08328999260754144), np.float64(0.0797523149253109), np.float64(0.0832320397208615), np.float64(0.0824355379793385), np.float64(0.08085690475199753), np.float64(0.08309688534390552), np.float64(0.08818269176934608), np.float64(0.08134733561061684)]"
128,0.21,0.08646451490446713,0.0027159588299330226,10,"[np.float64(0.08465061779305014), np.float64(0.08845063779366216), np.float64(0.08842828474651514), np.float64(0.08900707147751456), np.float64(0.08594659499028044), np.float64(0.08109283972418764), np.float64(0.08435459115632543), np.float64(0.09111746550909232), np.float64(0.0860181560499753), np.float64(0.08557888980406803)]"
128,0.22,0.0956695636018077,0.0033071369345573087,10,"[np.float64(0.09867638946699638), np.float64(0.09062754973118044), np.float64(0.09939838525034332), np.float64(0.09661882345282803), np.float64(0.09047991445125865), np.float64(0.09418472253109203), np.float64(0.09354058713121668), np.float64(0.09952794022550296), np.float64(0.0989297564109126), np.float64(0.09471156736674584)]"
128,0.23,0.10002993282506764,0.0040454000478621875,10,"[np.float64(0.10310592599523961), np.float64(0.09794514191113089), np.float64(0.10579747824227459), np.float64(0.09550454547481305), np.float64(0.09913831997510074), np.float64(0.09872963213889), np.float64(0.1001666450700685), np.float64(0.09648009193355006), np.float64(0.10785217670371486), np.float64(0.09557937080589418)]"
128,0.24,0.10500685075876266,0.002468631008999329,10,"[np.float64(0.10441795660855216), np.float64(0.10743094585310092), np.float64(0.10461969964923915), np.float64(0.10188339239447124), np.float64(0.10079098433261625), np.float64(0.10310937650119201), np.float64(0.1092537743025601), np.float64(0.10587177169771964), np.float64(0.10561346176932915), np.float64(0.10707714447884603)]"
128,0.25,0.11557559352757492,0.005716513987153936,10,"[np.float64(0.11268962039794257), np.float64(0.12043465494549288), np.float64(0.12654862226063665), np.float64(0.11967187496500631), np.float64(0.11088360547573763), np.float64(0.11036148415314839), np.float64(0.11132413940833119), np.float64(0.11535230671826953), np.float64(0.1208323305733362), np.float64(0.10765729637784796)]"
128,0.26,0.12038925699809577,0.004567240698702265,10,"[np.float64(0.11685289114907749), np.float64(0.11952140285501617), np.float64(0.12073171707223797), np.float64(0.12543254217407115), np.float64(0.11455629418162935), np.float64(0.12702038125932028), np.float64(0.1260046614136977), np.float64(0.12151050053337539), np.float64(0.11275939710449359), np.float64(0.1195027822380385)]"
128,0.27,0.12730512553663373,0.004227391287352645,10,"[np.float64(0.13101406719436384), np.float64(0.13761590315575353), np.float64(0.1263833265743107), np.float64(0.12898130413872033), np.float64(0.12248634461155822), np.float64(0.12546048793401518), np.float64(0.1225643268734365), np.float64(0.12537207131658737), np.float64(0.12584063709335955), np.float64(0.12733278647423227)]"
128,0.28,0.13509208961403726,0.004109220833322883,10,"[np.float64(0.13088161807330703), np.float64(0.13071912110431191), np.float64(0.13017400479514785), np.float64(0.13516975736160797), np.float64(0.1368773282852142), np.float64(0.13304400851883658), np.float64(0.14166355366121414), np.float64(0.140733661754368), np.float64(0.13931700190812923), np.float64(0.13234084067823584)]"
128,0.29,0.14281472598766431,0.004886213584569773,10,"[np.float64(0.1338424684021095), np.float64(0.13883744169686574), np.float64(0.14082959776378012), np.float64(0.14677420558024518), np.float64(0.14369220458741516), np.float64(0.13802985940090795), np.float64(0.14187352968040132), np.float64(0.14496284019613603), np.float64(0.14939235030977813), np.float64(0.14991276225900388)]"
128,0.3,0.15005132194882614,0.0053588818145778976,10,"[np.float64(0.15734278114475467), np.float64(0.15368268305627472), np.float64(0.15137864010415344), np.float64(0.14600301280921443), np.float64(0.15284367525743872), np.float64(0.1551654895238545), np.float64(0.14460562735266905), np.float64(0.1439355717023813), np.float64(0.1410204181931647), np.float64(0.15453532034435608)]"
